Metric,Correlation_With_Profit,Abs_Correlation,Direction,Strength
Discount,-0.5959692271186531,0.5959692271186531,Negative,Moderate
Sales,0.49019480216680517,0.49019480216680517,Positive,Moderate
Shipping_Cost,0.44940824406794005,0.44940824406794005,Positive,Moderate
Quantity,0.20144248773748663,0.20144248773748663,Positive,Weak
Quarter,0.003598494363244639,0.003598494363244639,Positive,Very Weak
Shipping_Days,0.0010560331617801828,0.0010560331617801828,Positive,Very Weak
Year,0.0005678344117225712,0.0005678344117225712,Positive,Very Weak
